ID;	from;	to
391;	ASML Holding NV;	Cymer Inc
392;	Entegris Inc;	ASML Holding NV
393;	ASML Holding NV;	Joh Berenberg Gossler & Co KG
394;	KPMG Accountants NV;	ASML Holding NV
395;	Lumentum Holdings Inc;	ASML Holding NV
396;	ASML Motion Sub BV;	ASML Holding NV
397;	ASML Holding NV;	SK Hynix Inc
398;	ASML Holding NV;	Apple Inc
399;	ASML Holding NV;	Cymer LLC
400;	ASML Holding NV;	NXT-ID Inc
401;	ASML Holding NV;	XTAL Inc
402;	ASML Holding NV;	EuV Residential Lizenzholding GmbH
403;	SMT Scharf AG;	ASML Holding NV
404;	ASML Holding NV;	Micron Technology Inc
405;	Accenture PLC;	AXA SA
406;	Aeh Group Ltd;	AXA SA
407;	Ngdata NV;	AXA SA
408;	SecurityScorecard Inc;	AXA SA
409;	Vymo Solutions Pvt Ltd;	AXA SA
410;	Refinitiv US Holdings Inc;	Banco Santander SA
411;	Banco Santander SA;	Santander UK Group Holdings PLC
412;	Nuance Communications Inc;	Banco Santander SA
413;	Evertec Inc;	Banco Santander SA
414;	International Business Machines Corp;	Banco Santander SA
415;	nCino Inc;	Banco Santander SA
416;	Glencore PLC;	BASF SE
417;	Fluor Corp;	BASF SE
418;	Royal Dutch Shell PLC;	BASF SE
419;	BASF SE;	Verbund AG
420;	Sunpower Group Ltd;	BASF SE
421;	Gunvor Group Ltd;	BASF SE
422;	RWE AG;	BASF SE
423;	Verbund AG;	BASF SE
424;	Bilfinger SE;	BASF SE
425;	BASF SE;	Vitol SA
426;	Elemica Inc;	BASF SE
427;	HP Inc;	BASF SE
428;	Jacobs Engineering Group Inc;	BASF SE
429;	BASF SE;	Amarin Corporation PLC
430;	Aspen Aerogels Inc;	BASF SE
431;	Trafigura Pte Ltd;	BASF SE
432;	BASF SE;	Trinseo SA
433;	BP PLC;	BASF SE
434;	BASF SE;	BP PLC
435;	BASF SE;	Glencore PLC
436;	Amarin Corporation PLC;	BASF SE
437;	BASF SE;	General Motors Co
438;	Air Liquide Far Eastern Ltd;	BASF SE
439;	Esw Holdings Inc;	BASF SE
440;	BASF SE;	Trafigura Pte Ltd
441;	Equinor ASA;	BASF SE
442;	GMK Noril'skiy Nikel' PAO;	BASF SE
443;	Citrine Informatics Inc;	BASF SE
444;	Emerson Automation Solutions Final Control Uk Ltd;	BASF SE
445;	Emerson Electric Co;	BASF SE
446;	Hollysys Automation Technologies Ltd;	BASF SE
447;	Huntsman International LLC;	BASF SE
448;	BASF SE;	Petroliam Nasional Bhd
449;	Quality Distribution Inc;	BASF SE
450;	BASF SE;	Stahl Group BV
451;	Anaqua Inc;	BASF SE
